country;total_value;total_risk;indicator;risk_level;investment_view;rank_best_to_worst
Latvia;2537000000;0.0;0.0;Low risk;Good candidate for investment;1
Mauritius;989269000;0.0;0.0;Low risk;Good candidate for investment;2
Madagascar;359930000;0.0;0.0;Low risk;Good candidate for investment;3
Macedonia;1362600000;0.0;0.0;Low risk;Good candidate for investment;4
Luxembourg;1681000000;0.0;0.0;Low risk;Good candidate for investment;5
Lesotho;72000000;0.0;0.0;Low risk;Good candidate for investment;6
Lebanon;2070300000;0.0;0.0;Low risk;Good candidate for investment;7
Moldova;2914000000;0.0;0.0;Low risk;Good candidate for investment;8
Jamaica;792500000;0.0;0.0;Low risk;Good candidate for investment;9
Guinea-Bissau;18237000;0.0;0.0;Low risk;Good candidate for investment;10
Gambia;70400000;0.0;0.0;Low risk;Good candidate for investment;11
Estonia;2541900000;0.0;0.0;Low risk;Good candidate for investment;12
Eritrea;133190000;0.0;0.0;Low risk;Good candidate for investment;13
Equatorial Guinea;150500000;0.0;0.0;Low risk;Good candidate for investment;14
Dominican Republic;1858090000;0.0;0.0;Low risk;Good candidate for investment;15
Guyana;136300000;0.0;0.0;Low risk;Good candidate for investment;16
Djibouti;107332000;0.0;0.0;Low risk;Good candidate for investment;17
Mongolia;904000000;0.0;0.0;Low risk;Good candidate for investment;18
Mozambique;2285000000;0.0;0.0;Low risk;Good candidate for investment;19
Western Sahara;23400000;0.0;0.0;Low risk;Good candidate for investment;20
Uganda;772500000;0.0;0.0;Low risk;Good candidate for investment;21
Turkmenistan;3454000000;0.0;0.0;Low risk;Good candidate for investment;22
Trinidad and Tobago;2144600000;0.0;0.0;Low risk;Good candidate for investment;23
Togo;195114000;0.0;0.0;Low risk;Good candidate for investment;24
Swaziland;94800000;0.0;0.0;Low risk;Good candidate for investment;25
Montenegro;885500000;0.0;0.0;Low risk;Good candidate for investment;26
Suriname;5000000;0.0;0.0;Low risk;Good candidate for investment;27
Saint Lucia;3000000;0.0;0.0;Low risk;Good candidate for investment;28
Paraguay;8760000000;0.0;0.0;Low risk;Good candidate for investment;29
Papua New Guinea;406900000;0.0;0.0;Low risk;Good candidate for investment;30
Palestine;7600000;0.0;0.0;Low risk;Good candidate for investment;31
Niger;167200000;0.0;0.0;Low risk;Good candidate for investment;32
Namibia;502500000;0.0;0.0;Low risk;Good candidate for investment;33
Serbia;7958000000;0.0;0.0;Low risk;Good candidate for investment;34
Cyprus;1468000000;0.0;0.0;Low risk;Good candidate for investment;35
Zimbabwe;1670000000;0.0;0.0;Low risk;Good candidate for investment;36
Bahrain;7586300000;0.0;0.0;Low risk;Good candidate for investment;37
Botswana;746000000;0.0;0.0;Low risk;Good candidate for investment;38
Burkina Faso;229306000;0.0;0.0;Low risk;Good candidate for investment;39
Cape Verde;92805000;0.0;0.0;Low risk;Good candidate for investment;40
Bolivia;1563120000;0.0;0.0;Low risk;Good candidate for investment;41
Benin;60500000;0.0;0.0;Low risk;Good candidate for investment;42
Burundi;57170000;0.0;0.0;Low risk;Good candidate for investment;43
Antarctica;7600000;0.0;0.0;Low risk;Good candidate for investment;44
Armenia;3271000000;0.0;0.0;Low risk;Good candidate for investment;45
Libya;6231000000;136966.31882339716;2.1981434572844993e-05;Low risk;Good candidate for investment;46
Mauritania;315804000;419225.18660500646;0.0013274853599226308;Low risk;Good candidate for investment;47
Guatemala;3689100000;5718104.787170887;0.0015499999423086626;Low risk;Good candidate for investment;48
Yemen;1045000000;2628987.893462181;0.002515777888480556;Low risk;Good candidate for investment;49
Belarus;8534900000;30713308.960199356;0.00359855522152566;Low risk;Good candidate for investment;50
Panama;1633200000;6639836.132526398;0.004065537676050942;Low risk;Good candidate for investment;51
Denmark;8085200000;33834568.87304783;0.004184753484520832;Low risk;Good candidate for investment;52
Singapore;13660000000;57882024.04975891;0.004237337046102409;Low risk;Good candidate for investment;53
United Arab Emirates;30327000000;129186289.53676671;0.004259778070259726;Low risk;Good candidate for investment;54
Bulgaria;9252200000;64435553.49111557;0.00696434939702077;Low risk;Good candidate for investment;55
Israel;14665800000;110672042.57752746;0.007546267000608726;Low risk;Good candidate for investment;56
Venezuela;31096000000;239755755.6629181;0.007710179947997109;Low risk;Good candidate for investment;57
Oman;6010800000;47716683.38403106;0.007938491279701714;Low risk;Good candidate for investment;58
Uruguay;4209120000;36566324.53203201;0.00868740366918311;Low risk;Good candidate for investment;59
Saudi Arabia;84341550000;746468820.2942908;0.00885054662019243;Low risk;Good candidate for investment;60
Ireland;7582150000;72621127.81405449;0.009577907033500324;Low risk;Good candidate for investment;61
Malaysia;28794500000;276084931.70142174;0.009588113414069415;Low risk;Good candidate for investment;62
Qatar;10548000000;113767434.35114622;0.010785687746600893;Low risk;Good candidate for investment;63
Poland;37902000000;434173888.8323307;0.011455170936423691;Low risk;Good candidate for investment;64
Hungary;6290700000;91488038.06304932;0.014543379602118892;Low risk;Good candidate for investment;65
Kuwait;17829500000;303829316.69428945;0.01704082092567315;Low risk;Good candidate for investment;66
El Salvador;1418500000;24489942.19303131;0.017264675497378437;Low risk;Good candidate for investment;67
Jordan;4703500000;92137256.4136982;0.019589083961666462;Low risk;Good candidate for investment;68
Japan;215365850000;4252862407.9197645;0.019747153078910906;Low risk;Good candidate for investment;69
Fiji;317380000;6385067.105293274;0.020118051248639718;Low risk;Good candidate for investment;70
Tunisia;5052200000;110411090.25478363;0.021854061647358307;Low risk;Good candidate for investment;71
Uzbekistan;12640000000;282306000.7095337;0.022334335499171968;Low risk;Good candidate for investment;72
Cuba;3796800000;88910442.11760163;0.02341720451896377;Low risk;Good candidate for investment;73
United Kingdom;97155284480;2645221891.563583;0.02722674227883217;Low risk;Good candidate for investment;74
Netherlands;16993690000;466730040.4103473;0.027464902585038756;Low risk;Good candidate for investment;75
Costa Rica;1968400000;57169961.92932129;0.029043874176651743;Low risk;Good candidate for investment;76
Morocco;8697560000;264821610.51034927;0.03044780496028188;Low risk;Good candidate for investment;77
Czech Republic;16871700000;518147285.9337926;0.030711030064178038;Low risk;Good candidate for investment;78
Slovakia;6230860000;209661844.14625168;0.03364894158210129;Low risk;Good candidate for investment;79
Cambodia;1517600000;53552571.48742676;0.03528767230325959;Low risk;Good candidate for investment;80
South Africa;50422700000;1842104486.6400957;0.03653323774094001;Low risk;Good candidate for investment;81
Finland;11796760000;432185947.88881016;0.03663598715993291;Low risk;Good candidate for investment;82
Rwanda;193680000;7545907.974243164;0.03896069792566689;Low risk;Good candidate for investment;83
North Korea;9208000000;400608773.23150635;0.04350660004686211;Low risk;Good candidate for investment;84
Nicaragua;863400000;39614950.597286224;0.04588250011267805;Low risk;Good candidate for investment;85
Croatia;3274500000;153258595.41893005;0.04680366328261721;Low risk;Good candidate for investment;86
Sri Lanka;3720100000;187296780.8842659;0.050347243591372784;Low risk;Good candidate for investment;87
Indonesia;48751418000;2744685104.5554876;0.05629959531752467;Low risk;Good candidate for investment;88
Philippines;20719300000;1168641195.0707436;0.056403507602609336;Low risk;Good candidate for investment;89
Iran;61362100000;3523850801.0748773;0.057427154564053014;Low risk;Good candidate for investment;90
Honduras;2164870000;131033830.88111877;0.06052734385026296;Low risk;Good candidate for investment;91
Italy;73095060000;4750355844.366457;0.06498873992806706;Low risk;Good candidate for investment;92
Azerbaijan;5764000000;393675587.89253235;0.06829902635193136;Low risk;Good candidate for investment;93
Taiwan;37211860000;2587682580.947876;0.06953918941294189;Low risk;Good candidate for investment;94
Ukraine;48569800000;3653223341.563344;0.0752159436844159;Low risk;Good candidate for investment;95
Romania;14646900000;1220487585.285306;0.08332736519572784;Low risk;Good candidate for investment;96
Laos;4986860000;433651457.5242996;0.08695881928193284;Low risk;Good candidate for investment;97
Kenya;2485900000;237878276.2169838;0.09569100777061981;Low risk;Good candidate for investment;98
Algeria;15873800000;1569887576.5800476;0.09889803176177396;Low risk;Good candidate for investment;99
Tanzania;994500000;102805416.10717773;0.1033739729584492;Low risk;Good candidate for investment;100
Zambia;2689337000;280454950.3326416;0.10428404857131761;Low risk;Good candidate for investment;101
France;110615928900;11934228705.46036;0.10788888023757634;Low risk;Good candidate for investment;102
Chile;22475648667;2464089507.096112;0.10963374377327874;Low risk;Good candidate for investment;103
Germany;112040374880;12440111174.821287;0.11103239513563905;Low risk;Good candidate for investment;104
Belgium;13404800000;1489758186.4252687;0.1111361740887793;Low risk;Good candidate for investment;105
South Korea;99472680000;11363743097.904324;0.11423984050599947;Low risk;Good candidate for investment;106
Cameroon;881580000;114935043.33496094;0.13037392333646514;Low risk;Good candidate for investment;107
Brunei Darussalam;586000000;78209485.53085327;0.1334632858888281;Low risk;Good candidate for investment;108
Sweden;26418700000;3826794884.2337356;0.1448517483537697;Low risk;Good candidate for investment;109
Australia;65852016000;9993149864.203632;0.15175161629377654;Low risk;Good candidate for investment;110
Georgia;3831400000;587049379.0268898;0.15322059274074484;Low risk;Good candidate for investment;111
Congo;625900000;96573392.67730713;0.15429524313357906;Low risk;Good candidate for investment;112
French Guiana;252600000;39549703.83644104;0.15657048232953696;Low risk;Good candidate for investment;113
Slovenia;2736000000;462112424.9100685;0.16890074009870926;Low risk;Good candidate for investment;114
Colombia;10924000000;2004296404.3170214;0.18347641928936484;Low risk;Good candidate for investment;115
Lithuania;3490800000;682981610.2981567;0.19565188790482319;Low risk;Good candidate for investment;116
Spain;79035068000;15882120754.532131;0.20095030163739633;Moderate risk;Possible investment with caution;117
Greece;14658650000;2976159876.3227463;0.20303096644798438;Moderate risk;Possible investment with caution;118
Afghanistan;300550000;61998842.95463562;0.20628462137626224;Moderate risk;Possible investment with caution;119
Cote DIvoire;1203000000;251700954.43725586;0.20922772604925674;Moderate risk;Possible investment with caution;120
Peru;7432100000;1570129882.7975988;0.21126328800710417;Moderate risk;Possible investment with caution;121
Senegal;696160000;162348690.03295898;0.23320600154125343;Moderate risk;Possible investment with caution;122
Bosnia and Herzegovina;3985500000;978695499.3009567;0.24556404448650276;Moderate risk;Possible investment with caution;123
Albania;1529000000;399058422.4462509;0.2609930820446376;Moderate risk;Possible investment with caution;124
Portugal;14744864000;4372161316.657066;0.29652096598904315;Moderate risk;Possible investment with caution;125
Turkey;51444700000;15286192727.176844;0.2971383393658986;Moderate risk;Possible investment with caution;126
China;1415067380000;448002680694.7626;0.31659459261562695;Moderate risk;Possible investment with caution;127
Central African Republic;33664000;10843692.564964294;0.3221153922577321;Moderate risk;Possible investment with caution;128
United States of America;1204638050000;418010510604.7905;0.34700091915973474;Moderate risk;Possible investment with caution;129
Vietnam;41350490000;14578404095.588625;0.35255698531235363;Moderate risk;Possible investment with caution;130
